Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
library_sort.exe|b2f3a871b3675e781d0045a6c8b74851|332|224|263|2|28|12800|20992|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|57176|3|0|2097152|4096|1048576|4096|0|16|13|2.61642907572|0.0|6.13169532458|2363.07692308|0|12800|2073.38461538|24|12552|5|61|0|0|0|0|0|0|0|0|0|0|0|1
queue_using_array2.exe|23ff22fcfed6d4d2013366523ae4bf6b|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|66527|3|0|2097152|4096|1048576|4096|0|16|13|2.64005890412|0.0|6.08334745288|2284.30769231|0|12288|1994.61538462|24|11864|5|59|0|0|0|0|0|0|0|0|0|0|0|1
vigenere_cipher.exe|54030505412434664e3daad53a9e4bd7|332|224|263|2|28|13824|23040|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|116232|3|0|2097152|4096|1048576|4096|0|16|13|2.61997845831|0.0|6.11908188018|2520.61538462|0|13824|2209.07692308|24|13568|5|72|0|0|0|0|0|0|0|0|0|0|0|1
geometric_dist.exe|7f10f4fc7974fc31893384cfd5742f01|332|224|263|2|28|18944|32768|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|121456|3|0|2097152|4096|1048576|4096|0|16|13|2.67305129395|0.0|6.17235108468|3268.92307692|0|18944|2964.76923077|24|18512|5|73|0|0|0|0|0|0|0|0|0|0|0|1
binary_insertion_sort.exe|a4a971d2b718fca3e497f7dc0bde85a5|332|224|263|2|28|18432|33792|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|150859|3|0|2097152|4096|1048576|4096|0|16|13|2.59590199921|0.0|6.11076066258|3347.69230769|0|18432|3039.23076923|24|18104|5|65|0|0|0|0|0|0|0|0|0|0|0|1
gcd_recursive_euclidean.exe|aeefd817b3f1649a214f42ee3e496f7d|332|224|263|2|28|12288|20992|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|73127|3|0|2097152|4096|1048576|4096|0|16|13|2.60486188836|0.0|6.11822731785|2363.07692308|0|12288|2048.15384615|24|12048|5|70|0|0|0|0|0|0|0|0|0|0|0|1
stack_using_linked_list.exe|dff76e823dab5a0785af409133d03aaa|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|53347|3|0|2097152|4096|1048576|4096|0|16|13|2.65330974872|0.0|6.06984805734|2284.30769231|0|12288|1996.46153846|24|11864|5|61|0|0|0|0|0|0|0|0|0|0|0|1
TLauncher-2.8-Installer-0.8.exe|484ba7cc6b26579d40e1bfd3796fdcc6|332|224|258|10|0|23552|142336|0|11489|4096|28672|4194304|4096|512|5|1|0|0|5|1|180224|1024|19728573|2|33088|1048576|4096|1048576|4096|0|16|5|4.6773701148|2.59807415291|6.40732846271|33177.6|3072|122368|33662.4|4304|122324|4|92|0|0|12|5.1125883702|2.98920144114|7.9226096565|10136.0833333|132|67624|72|0|1
shortest_common_supersequence.exe|f66e5dfa8665e5c6ea1155e80075ede4|332|224|263|2|28|25600|47104|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|98304|1024|155615|3|0|2097152|4096|1048576|4096|0|16|13|2.6889847197|0.0|6.05094657062|4371.69230769|0|25600|4086.61538462|24|25164|5|86|0|0|0|0|0|0|0|0|0|0|0|1
check_prime.exe|0cfbd70255070600418999061ee98b94|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|89105|3|0|2097152|4096|1048576|4096|0|16|13|2.66052958756|0.0|6.04607715832|2284.30769231|0|12288|1989.07692308|24|11784|5|62|0|0|0|0|0|0|0|0|0|0|0|1
gram_schmidt.exe|ee61d139da64531abae126987b5eb96f|332|224|263|2|28|14848|23552|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|94475|3|0|2097152|4096|1048576|4096|0|16|13|2.66695379513|0.0|6.16453491523|2560.0|0|14848|2278.92307692|24|14616|5|63|0|0|0|0|0|0|0|0|0|0|0|1
circular_queue_using_linked_list.exe|a545408813634f5727d2fd19bec83c3e|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|84783|3|0|2097152|4096|1048576|4096|0|16|13|2.61755189724|0.0|6.08419232349|2284.30769231|0|12288|1994.0|24|11896|5|61|0|0|0|0|0|0|0|0|0|0|0|1
kadane.exe|ac9be09d5d3b0959169e7e5f5fecf5ba|332|224|263|2|28|11776|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|97404|3|0|2097152|4096|1048576|4096|0|16|13|2.61498124447|0.0|6.15596811246|2244.92307692|0|11776|1958.92307692|24|11640|5|59|0|0|0|0|0|0|0|0|0|0|0|1
newton_raphson_method.exe|5a9a7c13b6dea0bdcff41c010bce958e|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|100604|3|0|2097152|4096|1048576|4096|0|16|13|2.65609875649|0.0|6.09671713462|2284.30769231|0|12288|2000.46153846|24|11864|5|64|0|0|0|0|0|0|0|0|0|0|0|1
saddleback_search.exe|f5eca81e786826cd22b9e9436caa4f0a|332|224|263|2|28|19456|34304|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|158981|3|0|2097152|4096|1048576|4096|0|16|13|2.64634925185|0.0|6.06978410808|3387.07692308|0|19456|3132.76923077|24|19128|5|64|0|0|0|0|0|0|0|0|0|0|0|1
bellman_ford.exe|c41197a8eb402882882332d02194dd4e|332|224|263|2|28|12800|20992|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|91390|3|0|2097152|4096|1048576|4096|0|16|13|2.62558619475|0.0|6.16704912872|2363.07692308|0|12800|2081.07692308|24|12664|5|61|0|0|0|0|0|0|0|0|0|0|0|1
WiFiHotspot_Setup_GL.exe|9e233c7ca6abc3390d544299a21516a7|332|224|258|9|0|73216|936960|0|27580|4096|77824|4194304|4096|512|5|0|0|0|5|0|5173850|1024|5212937|2|33088|1048576|4096|1048576|4096|0|16|6|5.33999782722|1.47061289884|7.9999622916|858639.0|8704|4141658|859721.0|8476|4141658|3|98|1|0|13|5.80951686914|3.07468965614|7.99971129185|69012.3846154|118|664361|72|0|1
fibonacci_bottom_up.exe|7c81232ab02550ceb14c015736444910|332|224|263|2|28|11776|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|55348|3|0|2097152|4096|1048576|4096|0|16|13|2.62238388151|0.0|6.11960909589|2244.92307692|0|11776|1954.30769231|24|11512|5|61|0|0|0|0|0|0|0|0|0|0|0|1
recursive_bubble_sort.exe|c996e8c30d46a7e5cb9667774e2ad53f|332|224|263|2|28|19456|35840|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|123770|3|0|2097152|4096|1048576|4096|0|16|13|2.59862839901|0.0|6.03692246563|3505.23076923|0|19456|3176.15384615|24|18972|5|71|0|0|0|0|0|0|0|0|0|0|0|1
counting_sort_string.exe|edb4963ccff68d6cf1617f7415ac3db4|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|83404|3|0|2097152|4096|1048576|4096|0|16|13|2.62954013999|0.0|6.12360185727|2323.69230769|0|12288|2030.0|24|12040|5|65|0|0|0|0|0|0|0|0|0|0|0|1
area.exe|478361de5ce61ac0873fb749853edcc3|332|224|263|2|28|15872|25088|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|57265|3|0|2097152|4096|1048576|4096|0|16|13|2.67915122392|0.0|6.12470118667|2678.15384615|0|15872|2398.30769231|24|15512|5|63|0|0|0|0|0|0|0|0|0|0|0|1
count_of_set_bits.exe|3f74e856be08e67ba5599971bf6dac03|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|108551|3|0|2097152|4096|1048576|4096|0|16|13|2.64856096051|0.0|6.11922625441|2323.69230769|0|12288|2032.46153846|24|12056|5|59|0|0|0|0|0|0|0|0|0|0|0|1
adaline_learning.exe|071f83fa204a7e8b4c51097d0e211b7c|332|224|263|2|28|40448|59392|3072|4832|4096|45056|4194304|4096|512|4|0|1|0|4|0|106496|1024|153339|3|0|2097152|4096|1048576|4096|0|16|13|2.71634747853|0.0|6.18072501821|5316.92307692|0|40448|5252.15384615|24|39972|5|77|0|0|0|0|0|0|0|0|0|0|0|1
reverse_binary_tree.exe|463ce6018dbaa0973cc72b9f55b512a5|332|224|263|2|28|24064|44544|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|187498|3|0|2097152|4096|1048576|4096|0|16|13|2.57276083145|0.0|6.01208793374|4174.76923077|0|24064|3857.38461538|24|23644|5|69|0|0|0|0|0|0|0|0|0|0|0|1
tower_of_hanoi.exe|1748aa6a93a24ca45d06f16596728f04|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|94117|3|0|2097152|4096|1048576|4096|0|16|13|2.61910930755|0.0|6.10961305476|2284.30769231|0|12288|1993.07692308|24|11992|5|59|0|0|0|0|0|0|0|0|0|0|0|1
pancake_sort.exe|6c041956e5e8261e638aea58c368f795|332|224|263|2|28|19968|38400|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|90112|1024|140703|3|0|2097152|4096|1048576|4096|0|16|13|2.61473496233|0.0|6.06854533695|3702.15384615|0|19968|3384.76923077|24|19672|5|68|0|0|0|0|0|0|0|0|0|0|0|1
array_left_rotation.exe|bd073cb59f5d7b12c267948b83d78799|332|224|263|2|28|19456|34816|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|152065|3|0|2097152|4096|1048576|4096|0|16|13|2.64530144938|0.0|6.10093615035|3426.46153846|0|19456|3133.07692308|24|19292|5|69|0|0|0|0|0|0|0|0|0|0|0|1
egg_dropping_puzzle.exe|faf027b74101709e24bf2e8571c8a096|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|84372|3|0|2097152|4096|1048576|4096|0|16|13|2.64337063138|0.0|6.15997496147|2284.30769231|0|12288|2007.84615385|24|12088|5|61|0|0|0|0|0|0|0|0|0|0|0|1
DimScreen.exe|4afdbac75c506545e6d9b85f11bbcf8a|332|224|271|7|10|362496|89600|0|273231|4096|368640|4194304|4096|512|4|0|0|0|4|0|462848|1024|0|2|0|4194304|4096|1048576|4096|0|16|4|5.00016554744|3.8961929219|6.67412074911|107136.0|8192|362496|113192.5|16384|362198|12|362|2|0|19|2.98811785854|1.78149632953|5.18672383003|701.736842105|20|4264|0|0|1
modular_exponentiation.exe|ab78309efddd49117b62409922aa68a6|332|224|263|2|28|12800|20480|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|71035|3|0|2097152|4096|1048576|4096|0|16|13|2.67374200118|0.0|6.10910912045|2323.69230769|0|12800|2048.15384615|24|12536|5|60|0|0|0|0|0|0|0|0|0|0|0|1
is_graph_bipartite2.exe|2f5c5d9d6a4439a8e2ac282e0d159215|332|224|263|2|28|23040|43008|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|145145|3|0|2097152|4096|1048576|4096|0|16|13|2.52176766094|0.0|6.08320263876|4056.61538462|0|23040|3728.46153846|24|23008|5|66|0|0|0|0|0|0|0|0|0|0|0|1
bitonic_sort.exe|6cd2626ac2e8242129a70c7086448464|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|67669|3|0|2097152|4096|1048576|4096|0|16|13|2.59654691123|0.0|6.10288815391|2284.30769231|0|12288|1992.15384615|24|11992|5|57|0|0|0|0|0|0|0|0|0|0|0|1
kohonen_som_trace.exe|7d0f08a2a5432e8593d9acb7f2ed488b|332|224|263|2|28|19968|34816|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|150784|3|0|2097152|4096|1048576|4096|0|16|13|2.66337321191|0.0|6.12966407909|3426.46153846|0|19968|3123.53846154|24|19864|5|78|0|0|0|0|0|0|0|0|0|0|0|1
bayes_theorem.exe|9f4e9f398d91de1e9b1d04abee820ad3|332|224|263|2|28|11776|19456|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|86456|3|0|2097152|4096|1048576|4096|0|16|13|2.62801644013|0.0|6.16683220892|2244.92307692|0|11776|1961.69230769|24|11624|5|59|0|0|0|0|0|0|0|0|0|0|0|1
Unlocker1-9-2.exe|33408f35623dc5bb4a3bde09fa45f86b|332|224|271|6|0|23040|119808|1024|12491|4096|28672|4194304|4096|512|4|0|6|0|4|0|348160|1024|0|2|32768|1048576|4096|1048576|4096|0|16|5|3.93101102714|0.0|6.43310034828|10342.4|0|23040|67290.0|4496|176128|8|155|1|0|53|2.86788832779|1.76085608741|5.21481584993|374.150943396|34|2216|0|0|1
palindrome_partitioning.exe|a7725d551391db2116b7034524f6cea1|332|224|263|2|28|25088|48128|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|102400|1024|179432|3|0|2097152|4096|1048576|4096|0|16|13|2.66754543534|0.0|6.06032020435|4450.46153846|0|25088|4194.30769231|24|25048|5|73|0|0|0|0|0|0|0|0|0|0|0|1
durand_kerner_roots.exe|ac38ddbe806bc1c32d4634086d7dae96|332|224|263|2|28|43520|62464|3072|4832|4096|49152|4194304|4096|512|4|0|1|0|4|0|110592|1024|147256|3|0|2097152|4096|1048576|4096|0|16|13|2.75728277215|0.0|6.35325761385|5553.23076923|0|43520|5493.38461538|24|43460|5|100|0|0|0|0|0|0|0|0|0|0|0|1
prim.exe|7a01eeb640f9c27413864269c6e8b5e9|332|224|263|2|28|22528|41984|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|126240|3|0|2097152|4096|1048576|4096|0|16|13|2.5772594227|0.0|6.04970450886|3977.84615385|0|22528|3675.84615385|24|22412|5|69|0|0|0|0|0|0|0|0|0|0|0|1
caesar_cipher.exe|c8fd1e5dd737ef6dd77c944ffb3f9bc7|332|224|263|2|28|13312|22528|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|90603|3|0|2097152|4096|1048576|4096|0|16|13|2.68681893728|0.0|6.17456846686|2481.23076923|0|13312|2197.38461538|24|13208|5|72|0|0|0|0|0|0|0|0|0|0|0|1
lowest_common_ancestor.exe|c1042fb22c243f6a549bd360d97e7465|332|224|263|2|28|27648|51200|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|102400|1024|148512|3|0|2097152|4096|1048576|4096|0|16|13|2.60424347549|0.0|5.96746934278|4686.76923077|0|27648|4425.38461538|24|27412|5|65|0|0|0|0|0|0|0|0|0|0|0|1
number_of_positive_divisors.exe|77c04b638bbb72d2a61450f47cd6ce95|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|81595|3|0|2097152|4096|1048576|4096|0|16|13|2.6130793812|0.0|6.0533275911|2323.69230769|0|12288|2003.84615385|24|11816|5|62|0|0|0|0|0|0|0|0|0|0|0|1
realtime_stats.exe|ef6a8f3b90d22d59bf37692811e12b9b|332|224|263|2|28|13824|23040|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|80950|3|0|2097152|4096|1048576|4096|0|16|13|2.61140257687|0.0|6.15572085856|2520.61538462|0|13824|2192.76923077|24|13496|5|65|0|0|0|0|0|0|0|0|0|0|0|1
huffman.exe|3dfb2a50f02a40d74ee46537c9c9f6c6|332|224|263|2|28|18432|32768|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|141748|3|0|2097152|4096|1048576|4096|0|16|13|2.6154539368|0.0|6.11661213653|3268.92307692|0|18432|3004.15384615|24|18420|5|74|0|0|0|0|0|0|0|0|0|0|0|1
dnf_sort.exe|d9b32b0b5de5ac658d84f52dca217999|332|224|263|2|28|16384|29696|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|132913|3|0|2097152|4096|1048576|4096|0|16|13|2.57458172739|0.0|6.13279807321|3032.61538462|0|16384|2718.30769231|24|16128|5|65|0|0|0|0|0|0|0|0|0|0|0|1
minimum_edit_distance.exe|f86c64e315bce734261d9c8d9cf38370|332|224|263|2|28|17920|31744|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|147919|3|0|2097152|4096|1048576|4096|0|16|13|2.65859190092|0.0|6.10475662825|3190.15384615|0|17920|2880.15384615|24|17512|5|76|0|0|0|0|0|0|0|0|0|0|0|1
bisection_method.exe|8c45b24a82dd3590b77e48190d53ce02|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|85006|3|0|2097152|4096|1048576|4096|0|16|13|2.66298044144|0.0|6.1672704141|2284.30769231|0|12288|2017.38461538|24|12072|5|61|0|0|0|0|0|0|0|0|0|0|0|1
horspool.exe|425b630f3518305f664e41eae03bf01b|332|224|263|2|28|23552|42496|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|199974|3|0|2097152|4096|1048576|4096|0|16|13|2.62690640411|0.0|6.07402557642|4017.23076923|0|23552|3707.53846154|24|23364|5|71|0|0|0|0|0|0|0|0|0|0|0|1
cycle_check_directed_graph.exe|39db0c1e020240c9d4fb916864ef11a1|332|224|263|2|28|33792|65024|512|4832|4096|40960|4194304|4096|512|4|0|1|0|4|0|118784|1024|252445|3|0|2097152|4096|1048576|4096|0|16|13|2.64114414739|0.0|5.94062498242|5750.15384615|0|33792|5464.15384615|24|33480|5|77|0|0|0|0|0|0|0|0|0|0|0|1
set_kth_bit.exe|49ae787721d1e90ee6484aaf9d098af8|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|62079|3|0|2097152|4096|1048576|4096|0|16|13|2.59737370007|0.0|6.04883468217|2323.69230769|0|12288|1994.92307692|24|11816|5|59|0|0|0|0|0|0|0|0|0|0|0|1
abbreviation.exe|08b1f53e79c8949e2f2096a3cde1d65e|332|224|263|2|28|22528|38912|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|90112|1024|162773|3|0|2097152|4096|1048576|4096|0|16|13|2.70273182049|0.0|6.05830029798|3741.53846154|0|22528|3480.15384615|24|22240|5|72|0|0|0|0|0|0|0|0|0|0|0|1
array_right_rotation.exe|b9e73639efa3c5a1a293f2d50cad95d7|332|224|263|2|28|19456|34816|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|154400|3|0|2097152|4096|1048576|4096|0|16|13|2.64655526821|0.0|6.09988578158|3426.46153846|0|19456|3133.38461538|24|19292|5|69|0|0|0|0|0|0|0|0|0|0|0|1
sublist_search.exe|7b1b5016afe77a27fc8387d95400ef65|332|224|263|2|28|18432|32768|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|110870|3|0|2097152|4096|1048576|4096|0|16|13|2.64448693735|0.0|6.1271060529|3268.92307692|0|18432|2999.84615385|24|18256|5|71|0|0|0|0|0|0|0|0|0|0|0|1
spirograph.exe|796a38a56780a86a6e13d8074ee76cec|332|224|263|2|28|12800|21504|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|111068|3|0|2097152|4096|1048576|4096|0|16|13|2.64892818182|0.0|6.15577656922|2402.46153846|0|12800|2120.76923077|24|12552|5|73|0|0|0|0|0|0|0|0|0|0|0|1
complex_numbers.exe|50867fe42f6c67b3342247ab5bbb366c|332|224|263|2|28|15872|27136|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|73489|3|0|2097152|4096|1048576|4096|0|16|13|2.69410264439|0.0|6.19470232032|2835.69230769|0|15872|2551.53846154|24|15640|5|79|0|0|0|0|0|0|0|0|0|0|0|1
xor_cipher.exe|3eddd3c1c99e6ad86e08620f70c6ef8c|332|224|263|2|28|13312|22528|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|82410|3|0|2097152|4096|1048576|4096|0|16|13|2.63183037372|0.0|6.11601720521|2481.23076923|0|13312|2181.07692308|24|13032|5|72|0|0|0|0|0|0|0|0|0|0|0|1
TreeSize-x64-Demo.exe|ff23f72885b60360374ef633a7985cfd|332|224|33167|2|25|741376|114688|0|745196|4096|749568|4194304|4096|512|6|0|6|0|6|0|913408|1024|26423045|2|33088|1048576|16384|1048576|4096|0|16|10|3.55267711484|0.0|7.24819364174|85606.4|0|735232|88192.1|24|734724|7|138|0|3|27|4.06101792801|2.74829432355|7.98515132099|3445.25925926|16|55762|0|0|1
cut_rod.exe|4e1801bde57f2ca4678e6c85d35e34f8|332|224|263|2|28|13312|22016|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|88453|3|0|2097152|4096|1048576|4096|0|16|13|2.67480460888|0.0|6.14714903306|2441.84615385|0|13312|2158.0|24|13208|5|64|0|0|0|0|0|0|0|0|0|0|0|1
gnome_sort.exe|5d9eb8187e0f517251a60664db62e225|332|224|263|2|28|14336|25088|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|95503|3|0|2097152|4096|1048576|4096|0|16|13|2.64063373235|0.0|6.21320324931|2678.15384615|0|14336|2403.84615385|24|14312|5|62|0|0|0|0|0|0|0|0|0|0|0|1
FISSetup.exe|3075aafc14f14e87ddc718cc2487b445|332|224|1295|6|0|8704|5632|0|8623|4096|16384|4194304|4096|512|4|0|4|0|4|0|28672|1024|0|2|0|1048576|4096|1048576|4096|0|16|4|4.44489254269|2.84628965624|6.19441611422|3456.0|1024|8704|3285.75|1144|8486|4|70|0|2|3|2.82684758438|2.16096404744|3.37232675408|450.666666667|20|744|0|0|1
subarray_sum.exe|7b92402ebbf07cc85c56260fac6d44f9|332|224|263|2|28|23040|44032|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|94208|1024|183416|3|0|2097152|4096|1048576|4096|0|16|13|2.62227326913|0.0|6.01958287779|4135.38461538|0|23040|3852.46153846|24|22640|5|70|0|0|0|0|0|0|0|0|0|0|0|1
graph_coloringg.exe|12171ca9746fb4690d0a71bb9af7da0a|332|224|263|2|28|12288|20480|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|86517|3|0|2097152|4096|1048576|4096|0|16|13|2.60366904636|0.0|6.14283074501|2323.69230769|0|12288|2043.53846154|24|12200|5|57|0|0|0|0|0|0|0|0|0|0|0|1
odd_even_sort.exe|f6a97656ed3ffc667a6ede9b3ed0f523|332|224|263|2|28|15872|28160|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|102498|3|0|2097152|4096|1048576|4096|0|16|13|2.62889213976|0.0|6.10243847611|2914.46153846|0|15872|2630.0|24|15576|5|69|0|0|0|0|0|0|0|0|0|0|0|1
heavy_light_decomposition.exe|037f6e5371de0c82211a03c04c38d381|332|224|263|2|28|49152|85504|512|4832|4096|53248|4194304|4096|512|4|0|1|0|4|0|135168|1024|262856|3|0|2097152|4096|1048576|4096|0|16|13|2.57932602741|0.0|5.94907735201|7325.53846154|0|49152|7041.07692308|24|48936|5|69|0|0|0|0|0|0|0|0|0|0|0|1
TIFF-to-PDF-Converter-Setup_1-1.exe|d35bac388868ace3504dfbd35a37a431|332|224|271|6|0|24064|164864|1024|12538|4096|28672|4194304|4096|512|4|0|6|0|4|0|266240|1024|2848980|2|32768|1048576|4096|1048576|4096|0|16|5|4.38004857078|0.0|6.4401055495|12288.0|0|31232|51025.6|4764|154712|8|155|1|0|19|3.90545972152|2.56193367224|6.16607689223|1577.21052632|132|9640|0|0|1
fibonacci_search.exe|3281577a278bd84a720c71119f614e50|332|224|263|2|28|20480|34816|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|152650|3|0|2097152|4096|1048576|4096|0|16|13|2.6320034251|0.0|6.08656650008|3426.46153846|0|20480|3142.0|24|20132|5|66|0|0|0|0|0|0|0|0|0|0|0|1
avltree.exe|31e74c1a1202812bb0e9157a4322c541|332|224|263|2|28|17920|31744|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|120182|3|0|2097152|4096|1048576|4096|0|16|13|2.57760601575|0.0|6.08543647861|3190.15384615|0|17920|2872.76923077|24|17692|5|67|0|0|0|0|0|0|0|0|0|0|0|1
extended_euclid_algorithm.exe|83f86f8a63da6b96b2613f3461633dea|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|95494|3|0|2097152|4096|1048576|4096|0|16|13|2.64105409674|0.0|6.17837239896|2284.30769231|0|12288|2032.15384615|24|12216|5|62|0|0|0|0|0|0|0|0|0|0|0|1
trie_modern.exe|4052bc606618490172a7e8fac43517ac|332|224|263|2|28|17920|33280|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|101917|3|0|2097152|4096|1048576|4096|0|16|13|2.65586134644|0.0|6.13392067103|3308.30769231|0|17920|3025.38461538|24|17884|5|80|0|0|0|0|0|0|0|0|0|0|0|1
binary_search.exe|0c546447091896c19fad9799c078c9f2|332|224|263|2|28|19968|34816|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|107628|3|0|2097152|4096|1048576|4096|0|16|13|2.53874389722|0.0|6.07218347048|3426.46153846|0|19968|3097.38461538|24|19468|5|65|0|0|0|0|0|0|0|0|0|0|0|1
reverse_a_linked_list.exe|8c61951babaa18d6ab87760f984dbd83|332|224|263|2|28|13312|22016|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|54251|3|0|2097152|4096|1048576|4096|0|16|13|2.64506276229|0.0|6.04885846789|2441.84615385|0|13312|2137.69230769|24|12816|5|73|0|0|0|0|0|0|0|0|0|0|0|1
merge_insertion_sort.exe|7fc185fbb15d993ea9712aef1a1072b7|332|224|263|2|28|12800|20992|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|73728|1024|54659|3|0|2097152|4096|1048576|4096|0|16|13|2.65990972533|0.0|6.0796426027|2363.07692308|0|12800|2087.53846154|24|12360|5|63|0|0|0|0|0|0|0|0|0|0|0|1
jump_search.exe|1936626d73a59ad200f2a79d2fdfdd7d|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|52326|3|0|2097152|4096|1048576|4096|0|16|13|2.59087560979|0.0|6.07256577032|2284.30769231|0|12288|1974.61538462|24|11848|5|58|0|0|0|0|0|0|0|0|0|0|0|1
